pressure_level,latitude,longitude,valid_time,number,cc,r,crwc,t,u,v
1000.0,13.8,-75.5,2020-08-20,0,,,,,,
1000.0,13.8,-75.5,2020-08-21,0,,,,,,
1000.0,13.8,-75.5,2020-08-22,0,,,,,,
1000.0,13.8,-75.5,2020-08-23,0,,,,,,
1000.0,13.8,-75.5,2020-08-24,0,,,,,,
1000.0,13.8,-75.5,2020-08-25,0,,,,,,
1000.0,13.8,-75.5,2020-08-26,0,,,,,,
1000.0,13.8,-75.5,2020-08-27,0,,,,,,
1000.0,13.8,-75.5,2020-08-28,0,,,,,,
1000.0,13.8,-75.5,2020-08-29,0,,,,,,
1000.0,13.8,-75.5,2020-08-30,0,,,,,,
1000.0,13.8,-75.5,2020-08-31,0,,,,,,
1000.0,13.8,-75.5,2020-09-01,0,0.0,82.1268,2.9655666e-06,26.961823,-2.312163,0.96367574
1000.0,13.8,-75.5,2020-09-02,0,0.0,82.32109,1.2934289e-06,26.87169,-4.983449,1.8880556
1000.0,13.8,-75.5,2020-09-03,0,,,,,,
1000.0,13.8,-75.5,2020-09-04,0,0.0,81.023315,1.8509535e-06,26.233498,-8.077322,-0.6473755
1000.0,13.8,-75.5,2020-09-05,0,,,,,,
1000.0,13.8,-75.5,2020-09-06,0,0.0,82.058426,4.832566e-07,27.572979,-6.606742,-1.0416878
1000.0,13.8,-75.5,2020-09-07,0,,,,,,
1000.0,13.8,-75.5,2020-09-08,0,0.0,80.868645,7.79459e-07,27.031096,-5.669706,1.6582404
1000.0,13.8,-75.5,2020-09-09,0,,,,,,
1000.0,13.8,-75.5,2020-09-10,0,0.0,79.1386,5.515664e-07,27.255869,-7.3276544,-1.0923234
1000.0,13.8,-75.5,2020-09-11,0,,,,,,
1000.0,13.8,-75.5,2020-09-12,0,0.0,77.16611,1.3757157e-09,27.8581,-6.7681684,-1.0906035
1000.0,13.8,-75.5,2020-09-13,0,,,,,,
1000.0,13.8,-75.5,2020-09-14,0,0.0,80.098404,1.8614959e-07,27.94166,-6.87149,-1.5831301
1000.0,13.8,-75.5,2020-09-15,0,,,,,,
1000.0,13.8,-75.5,2020-09-16,0,0.0,84.54709,4.1540034e-07,27.221052,-7.8849583,-1.5335368
1000.0,13.8,-75.5,2020-09-17,0,0.0,83.207855,7.1020986e-07,26.96118,-7.802541,0.6638219
1000.0,13.8,-75.5,2020-09-18,0,,,,,,
1000.0,13.8,-75.5,2020-09-19,0,0.0,80.39428,8.298706e-08,27.156126,-4.7182856,-2.7803388
1000.0,13.8,-75.5,2020-09-20,0,,,,,,
1000.0,13.8,-75.5,2020-09-21,0,0.0,76.88395,3.3195005e-07,27.72726,-5.9161487,-2.9381764
1000.0,13.8,-75.5,2020-09-22,0,,,,,,
1000.0,13.8,-75.5,2020-09-23,0,0.0,84.73245,1.2604186e-06,26.992918,-5.489107,-1.0555198
1000.0,13.8,-75.5,2020-09-24,0,,,,,,
1000.0,13.8,-75.5,2020-09-25,0,0.0,80.68946,4.04841e-07,27.79789,-8.816005,-0.24674344
1000.0,13.8,-75.5,2020-09-26,0,,,,,,
1000.0,13.8,-75.5,2020-09-27,0,0.0,80.73518,8.546353e-07,27.266754,-7.64105,-2.649837
1000.0,13.8,-75.5,2020-09-28,0,,,,,,
1000.0,13.8,-75.5,2020-09-29,0,0.0,74.87768,6.0980005e-07,28.295572,-9.43224,-1.1874579
1000.0,13.8,-75.5,2020-09-30,0,,,,,,
1000.0,13.8,-75.5,2020-10-01,0,0.0,80.02108,1.7409087e-06,27.445118,-9.509416,3.0110655
1000.0,13.8,-75.5,2020-10-02,0,0.0,76.723175,8.9681987e-07,28.091665,-7.8985524,0.6864015
1000.0,13.8,-75.5,2020-10-03,0,,,,,,
1000.0,13.8,-75.5,2020-10-04,0,0.0,87.08348,8.531285e-06,25.412865,1.2116466,4.4939947
1000.0,13.8,-75.5,2020-10-05,0,,,,,,
1000.0,13.8,-75.5,2020-10-06,0,0.0,75.698074,2.402535e-07,27.586521,-2.1740854,3.6032991
1000.0,13.8,-75.5,2020-10-07,0,,,,,,
1000.0,13.8,-75.5,2020-10-08,0,0.0,77.04271,1.9710913e-06,27.171644,-5.7188563,1.4937136
1000.0,13.8,-75.5,2020-10-09,0,,,,,,
1000.0,13.8,-75.5,2020-10-10,0,0.0,81.40683,2.7922886e-07,27.699846,-9.669712,-0.67571807
1000.0,13.8,-75.5,2020-10-11,0,,,,,,
1000.0,13.8,-75.5,2020-10-12,0,0.0,78.32922,7.1069315e-09,28.052666,-8.751475,-1.4408914
1000.0,13.8,-75.5,2020-10-13,0,,,,,,
1000.0,13.8,-75.5,2020-10-14,0,0.0,81.54134,7.3637085e-07,27.159729,-5.77131,-0.066055134
1000.0,13.8,-75.5,2020-10-15,0,,,,,,
1000.0,13.8,-75.5,2020-10-16,0,0.0,77.38322,1.4901191e-07,28.077908,-9.33819,-1.5390655
1000.0,13.8,-75.5,2020-10-17,0,0.0,79.49699,1.9440184e-07,27.950392,-8.452633,-2.444958
1000.0,13.8,-75.5,2020-10-18,0,,,,,,
1000.0,13.8,-75.5,2020-10-19,0,0.0,82.97131,3.1044624e-06,26.631124,-7.5432215,1.6669848
1000.0,13.8,-75.5,2020-10-20,0,,,,,,
1000.0,13.8,-75.5,2020-10-21,0,0.0,77.89563,4.5299106e-07,27.067165,-2.0801902,2.7627332
1000.0,13.8,-75.5,2020-10-22,0,,,,,,
1000.0,13.8,-75.5,2020-10-23,0,0.0,83.97986,1.6286075e-06,27.320103,-7.9244723,0.8022143
1000.0,13.8,-75.5,2020-10-24,0,,,,,,
1000.0,13.8,-75.5,2020-10-25,0,0.0,81.96355,1.1462351e-06,26.731663,-5.2423635,4.7587733
1000.0,13.8,-75.5,2020-10-26,0,,,,,,
1000.0,13.8,-75.5,2020-10-27,0,0.0,76.330215,6.6481434e-08,27.722048,-10.508941,-2.2474606
1000.0,13.8,-75.5,2020-10-28,0,,,,,,
1000.0,13.8,-75.5,2020-10-29,0,0.0,78.78071,6.620766e-07,27.15318,-8.335015,-1.5810297
1000.0,13.8,-75.5,2020-10-30,0,,,,,,
1000.0,13.8,-75.5,2020-10-31,0,0.0,80.617905,1.8188559e-06,26.910713,-4.337126,-2.2102396
1000.0,13.8,-75.5,2020-11-01,0,0.0,85.8664,1.719891e-05,25.667866,-2.4831097,4.5383344
1000.0,13.8,-75.5,2020-11-02,0,0.0,87.99292,1.1203882e-05,25.526756,-2.1804514,4.261461
1000.0,13.8,-75.5,2020-11-03,0,,,,,,
1000.0,13.8,-75.5,2020-11-04,0,0.0,82.052376,3.337358e-06,26.734924,-8.911975,2.528422
1000.0,13.8,-75.5,2020-11-05,0,,,,,,
1000.0,13.8,-75.5,2020-11-06,0,0.0,84.624916,4.28512e-06,25.66978,-6.8078394,2.0240245
