valid_time,pressure_level,latitude,longitude,number,cc,r,crwc,t,u,v
2022-12-18,1000.0,13.05,-75.0,0.0,0.0,77.84202322857142,2.7517706464e-07,26.239322485714286,-13.925969028571428,-3.1178128199999997
2022-12-19,1000.0,13.05,-75.0,0.0,0.0,76.57667268571429,1.963544476e-07,25.659361942857142,-12.933147728571429,-2.8900411457142856
2022-12-20,1000.0,13.05,-75.0,0.0,0.0,76.57667268571429,1.963544476e-07,25.659361942857142,-12.933147728571429,-2.8900411457142856
2022-12-21,1000.0,13.05,-75.0,0.0,0.0,79.79318668571429,1.3321854360857143e-06,25.200778371428573,-12.993000757142857,-3.9153997142857144
2022-12-22,1000.0,13.05,-75.0,0.0,0.0,79.79318668571429,1.3321854360857143e-06,25.200778371428573,-12.993000757142857,-3.9153997142857144
2022-12-23,1000.0,13.05,-75.0,0.0,0.0,82.09230442857142,1.1703464830571428e-07,25.703282742857144,-13.7186807,-2.9040484999999996
2022-12-24,1000.0,13.05,-75.0,0.0,0.0,82.09230442857142,1.1703464830571428e-07,25.703282742857144,-13.7186807,-2.9040484999999996
2022-12-25,1000.0,13.05,-75.0,0.0,0.0,77.70419274285715,5.607951968571429e-07,25.221904914285712,-13.371553885714286,-3.0567516
2022-12-26,1000.0,13.05,-75.0,0.0,0.0,77.70419274285715,5.607951968571429e-07,25.221904914285712,-13.371553885714286,-3.0567516
2022-12-27,1000.0,13.05,-75.0,0.0,0.0,82.15289002857142,1.2822058182857143e-06,24.842684914285712,-12.549768771428573,-1.7976014657142858
2022-12-28,1000.0,13.05,-75.0,0.0,0.0,82.15289002857142,1.2822058182857143e-06,24.842684914285712,-12.549768771428573,-1.7976014657142858
2022-12-29,1000.0,13.05,-75.0,0.0,0.0,78.03004582857143,4.21739058e-07,25.179572942857142,-11.922501085714286,-1.8705998599999998
2022-12-30,1000.0,13.05,-75.0,0.0,0.0,78.03004582857143,4.21739058e-07,25.179572942857142,-11.922501085714286,-1.8705998599999998
2022-12-31,1000.0,13.05,-75.0,0.0,0.0,84.03844857142856,1.2507394351428571e-06,25.016590599999997,-12.912572671428572,-2.21947982
2023-01-01,1000.0,13.05,-75.0,0.0,0.0,83.31580014285714,9.709798511428572e-07,24.95780902857143,-11.3735087,-2.9250897257142854
2023-01-02,1000.0,13.05,-75.0,0.0,0.0,82.82383951428571,8.556999945714285e-07,24.551287314285716,-10.532579928571428,-2.91132264
2023-01-03,1000.0,13.05,-75.0,0.0,0.0,82.82383951428571,8.556999945714285e-07,24.551287314285716,-10.532579928571428,-2.91132264
2023-01-04,1000.0,13.05,-75.0,0.0,0.0,82.35212,3.4590365657142856e-07,24.482932657142857,-11.1047454,-2.608060494285714
2023-01-05,1000.0,13.05,-75.0,0.0,0.0,82.35212,3.4590365657142856e-07,24.482932657142857,-11.1047454,-2.608060494285714
2023-01-06,1000.0,13.05,-75.0,0.0,0.0,81.23803885714285,4.706010384285714e-07,25.140749971428573,-11.564453,-1.3981004854285715
2023-01-07,1000.0,13.05,-75.0,0.0,0.0,81.23803885714285,4.706010384285714e-07,25.140749971428573,-11.564453,-1.3981004854285715
2023-01-08,1000.0,13.05,-75.0,0.0,0.0,82.2660054,4.1617206814285717e-07,24.860531171428573,-11.135736857142858,-3.217807217142857
2023-01-09,1000.0,13.05,-75.0,0.0,0.0,82.2660054,4.1617206814285717e-07,24.860531171428573,-11.135736857142858,-3.217807217142857
